,building_name,year,price_per_square_foot
0,Bunker Hill Tower,2011,322.31692482908045
1,Bunker Hill Tower,2012,377.2965879265092
2,Bunker Hill Tower,2013,459.31758530183725
3,Bunker Hill Tower,2014,532.2258785338684
4,Bunker Hill Tower,2015,550.3401360544218
5,Bunker Hill Tower,2016,637.0748299319728
6,Bunker Hill Tower,2017,632.6530612244898
7,Bunker Hill Tower,2018,628.0063206384916
8,Promenade,2011,269.16802610114195
9,Promenade,2012,271.1223203026482
10,Promenade,2013,449.5943404171697
11,Promenade,2014,458.89864325618515
12,Promenade,2015,479.33752861640755
13,Promenade,2016,569.5509309967141
14,Promenade,2017,498.1557566438971
15,Promenade,2018,550.0467726847521
16,Promenade West,2011,260.20289553004557
17,Promenade West,2012,286.3602110022607
18,Promenade West,2013,303.7475099987058
19,Promenade West,2014,367.3382475311259
20,Promenade West,2015,398.62681201645944
21,Promenade West,2016,434.13215968187285
22,Promenade West,2017,439.0775528236477
23,Promenade West,2018,445.95616024187444
