bathrooms,bedrooms,building_name,building_number,date,price,region,square_feet,unit,url,price_per_square_foot,year
2.0,2.0,Promenade West,28.0,2018-07-03,620000.0,Bunker Hill,1323.0,308,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=318001482IT,468.6318972033257,2018.0
2.0,2.0,Promenade West,28.0,2018-06-12,600000.0,Bunker Hill,1323.0,527,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=18-334730,453.51473922902494,2018.0
2.0,2.0,Promenade West,28.0,2018-04-11,598000.0,Bunker Hill,1348.0,706,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=SR18004194CN,443.62017804154294,2018.0
2.0,2.0,Promenade West,28.0,2018-02-01,590000.0,Bunker Hill,1323.0,409,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=18-302636,445.95616024187444,2018.0
3.0,2.0,Promenade West,28.0,2018-01-24,615000.0,Bunker Hill,1509.0,315,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=17-280756,407.55467196819086,2018.0
1.0,1.0,Promenade West,28.0,2017-12-13,455000.0,Bunker Hill,1006.0,804,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=17-276468,452.286282306163,2017.0
2.0,1.0,Promenade West,28.0,2017-12-08,450000.0,Bunker Hill,1006.0,803,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=RS17251377MR,447.31610337972165,2017.0
2.0,2.0,Promenade West,28.0,2017-08-31,555000.0,Bunker Hill,1232.0,511,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=SR17142069CN,450.48701298701303,2017.0
2.0,2.0,Promenade West,28.0,2017-08-22,573000.0,Bunker Hill,1217.0,305,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=17-241720,470.8299096138044,2017.0
3.0,2.0,Promenade West,28.0,2017-07-31,580000.0,Bunker Hill,1500.0,316,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=17-206676,386.66666666666674,2017.0
1.0,1.0,Promenade West,28.0,2017-07-24,462000.0,Bunker Hill,992.0,712,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=17-233274,465.72580645161287,2017.0
2.0,3.0,Promenade West,28.0,2017-07-19,612000.0,Bunker Hill,1628.0,705,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=17-229802,375.9213759213759,2017.0
2.0,2.0,Promenade West,28.0,2017-07-06,570000.0,Bunker Hill,1217.0,309,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=17-215688,468.3648315529992,2017.0
2.0,2.0,Promenade West,28.0,2017-06-26,527500.0,Bunker Hill,1348.0,621,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=SB17104895MR,391.32047477744806,2017.0
3.0,2.0,Promenade West,28.0,2017-05-12,605000.0,Bunker Hill,1512.0,206,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=17-211192,400.13227513227514,2017.0
2.0,3.0,Promenade West,28.0,2017-03-27,550000.0,Bunker Hill,1707.0,520,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=16-166900,322.20269478617456,2017.0
2.0,2.0,Promenade West,28.0,2017-01-03,570000.0,Bunker Hill,1323.0,619,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=16-176362,430.8390022675737,2017.0
2.0,2.0,Promenade West,28.0,2016-11-18,545000.0,Bunker Hill,1253.0,501,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=16-149712,434.95610534716684,2016.0
2.0,2.0,Promenade West,28.0,2016-11-14,615000.0,Bunker Hill,1396.0,808,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=16-138782,440.5444126074497,2016.0
1.0,1.0,Promenade West,28.0,2016-10-11,466000.0,Bunker Hill,1006.0,806,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=16-122734,463.220675944334,2016.0
2.0,2.0,Promenade West,28.0,2016-09-17,575000.0,Bunker Hill,1327.0,415,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=16-142232,433.3082140165788,2016.0
1.0,1.0,Promenade West,28.0,2016-08-05,545000.0,Bunker Hill,1006.0,802,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=16-125118,541.7495029821074,2016.0
3.0,2.0,Promenade West,28.0,2016-07-26,629500.0,Bunker Hill,1512.0,314,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=16-124382,416.33597883597884,2016.0
2.0,3.0,Promenade West,28.0,2016-05-31,637000.0,Bunker Hill,1629.0,505,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=PW16060511MR,391.03744628606506,2016.0
