bathrooms,bedrooms,building_name,building_number,date,price,region,square_feet,unit,url,price_per_square_foot
1.0,1.0,110 Wilshire,29,2018-05-11,530000.0,City West,800.0,1905,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=18-323466,662.5
2.0,2.0,110 Wilshire,29,2018-04-25,1290000.0,City West,1600.0,3002,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=17-288234,806.25
2.0,2.0,110 Wilshire,29,2018-04-16,945000.0,City West,1140.0,2311,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=SR18020616CN,828.9473684210526
1.0,1.0,110 Wilshire,29,2018-04-12,510000.0,City West,750.0,2703,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=AR18046203MR,680.0
1.0,1.0,110 Wilshire,29,2018-03-30,524000.0,City West,750.0,2609,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=18-310364,698.6666666666666
1.0,1.0,110 Wilshire,29,2018-03-28,505000.0,City West,747.0,2010,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=CV17155479MR,676.0374832663989
1.0,1.0,110 Wilshire,29,2018-03-15,499999.0,City West,750.0,1809,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=17-278398,666.6653333333334
1.0,1.0,110 Wilshire,29,2018-01-16,525000.0,City West,750.0,2803,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=17-206166,700.0
1.0,2.0,110 Wilshire,29,2017-11-30,935000.0,City West,1140.0,2011,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=SR17234579CN,820.1754385964912
1.0,2.0,110 Wilshire,29,2017-11-28,920000.0,City West,1140.0,2411,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=17-228168,807.0175438596491
2.0,2.0,110 Wilshire,29,2017-09-12,1300088.0,City West,1660.0,3308,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=AR17142629MR,783.1855421686747
2.0,1.0,110 Wilshire,29,2017-08-30,780000.0,City West,1040.0,1708,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=17-216212,750.0
2.0,2.0,110 Wilshire,29,2017-08-14,1047000.0,City West,1480.0,1701,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=17-250722,707.4324324324324
1.0,1.0,110 Wilshire,29,2017-06-16,565000.0,City West,800.0,2007,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=17-200874,706.25
2.0,2.0,110 Wilshire,29,2017-06-06,940000.0,City West,1340.0,2006,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=17-217716,701.4925373134329
2.0,2.0,110 Wilshire,29,2017-05-01,960000.0,City West,1340.0,3304,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=17-213404,716.4179104477612
1.0,1.0,110 Wilshire,29,2017-04-25,558000.0,City West,800.0,2405,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=17-207496,697.5
2.0,2.0,110 Wilshire,29,2017-04-17,1428888.0,City West,1870.0,3305,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=17-196968,764.1112299465241
2.0,2.0,110 Wilshire,29,2017-04-12,1190000.0,City West,1870.0,3105,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=16-145140,636.3636363636364
2.0,2.0,110 Wilshire,29,2017-03-09,940000.0,City West,1340.0,2206,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=16-168516,701.4925373134329
2.0,2.0,110 Wilshire,29,2017-03-07,955000.0,City West,1340.0,2506,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=16-182642,712.6865671641791
2.0,2.0,110 Wilshire,29,2017-01-06,1080000.0,City West,1660.0,3108,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=16-157020,650.6024096385543
1.0,0.0,110 Wilshire,29,2017-01-03,540000.0,City West,670.0,3001,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=16-175064,805.9701492537314
2.0,2.0,110 Wilshire,29,2016-12-16,1500000.0,City West,1634.0,3402,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=16-149072,917.9926560587515
1.0,1.0,110 Wilshire,29,2016-09-30,585000.0,City West,790.0,3012,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=16-155164,740.506329113924
1.0,0.0,110 Wilshire,29,2016-08-12,559000.0,City West,790.0,3309,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=316005441IT,707.5949367088608
1.0,2.0,110 Wilshire,29,2016-07-18,920000.0,City West,1140.0,2711,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=16-132366,807.0175438596491
2.0,2.0,110 Wilshire,29,2016-07-07,805000.0,City West,1160.0,3607,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=16-113526,693.9655172413793
1.0,2.0,110 Wilshire,29,2016-06-30,755000.0,City West,1140.0,2811,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=14-816365,662.280701754386
1.0,1.0,110 Wilshire,29,2016-05-12,545000.0,City West,750.0,1909,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=PW16070317MR,726.6666666666666
1.0,0.0,110 Wilshire,29,2015-12-13,490000.0,City West,670.0,2101,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=IV15169951MR,731.3432835820895
1.0,1.0,110 Wilshire,29,2015-12-04,495000.0,City West,680.0,3010,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=15-914143,727.9411764705883
2.0,2.0,110 Wilshire,29,2015-12-03,805000.0,City West,1160.0,3307,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=15-941965,693.9655172413793
1.0,1.0,110 Wilshire,29,2015-11-25,499000.0,City West,750.0,1903,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=15-932663,665.3333333333334
1.0,1.0,110 Wilshire,29,2015-11-04,530000.0,City West,790.0,2412,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=15-921273,670.8860759493671
1.0,1.0,110 Wilshire,29,2015-09-02,545000.0,City West,760.0,3303,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=15-927167,717.1052631578947
1.0,1.0,110 Wilshire,29,2015-08-26,540000.0,City West,860.0,2904,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=SB15129863MR,627.9069767441861
1.0,0.0,110 Wilshire,29,2015-08-25,519000.0,City West,790.0,2012,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=15-917955,656.9620253164557
1.0,0.0,110 Wilshire,29,2015-06-25,510000.0,City West,790.0,2512,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=15-819045,645.5696202531645
1.0,1.0,110 Wilshire,29,2015-06-23,519000.0,City West,820.0,2008,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=15-826177,632.9268292682926
1.0,1.0,110 Wilshire,29,2015-06-12,530000.0,City West,800.0,2707,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=15-905497,662.5
1.0,0.0,110 Wilshire,29,2015-05-29,523500.0,City West,790.0,3609,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=15-882213,662.6582278481013
1.0,1.0,110 Wilshire,29,2015-05-05,492000.0,City West,670.0,2001,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=14-799677,734.3283582089553
1.0,0.0,110 Wilshire,29,2015-04-28,492000.0,City West,670.0,2701,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=14-814119,734.3283582089553
1.0,1.0,110 Wilshire,29,2015-04-13,515000.0,City West,820.0,1908,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=15-819725,628.0487804878048
1.0,1.0,110 Wilshire,29,2015-03-31,465000.0,City West,670.0,1901,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=15-817955,694.0298507462686
1.0,1.0,110 Wilshire,29,2015-03-27,548000.0,City West,800.0,2607,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=WS14209689MR,685.0
2.0,2.0,110 Wilshire,29,2015-03-27,1050000.0,City West,1600.0,2702,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=14-815127,656.25
1.0,1.0,110 Wilshire,29,2015-03-13,518000.0,City West,800.0,2805,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=15-878065,647.5
1.0,1.0,110 Wilshire,29,2015-02-27,455000.0,City West,680.0,2510,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=14-739605,669.1176470588235
1.0,1.0,110 Wilshire,29,2015-02-27,487000.0,City West,750.0,2603,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=14-817635,649.3333333333334
2.0,2.0,110 Wilshire,29,2015-01-23,1070000.0,City West,1600.0,3202,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=15-824463,668.75
1.0,1.0,110 Wilshire,29,2014-11-21,516888.0,City West,760.0,3203,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=PW14156713MR,680.1157894736842
1.0,0.0,110 Wilshire,29,2014-11-05,435000.0,City West,670.0,3501,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=PW14118500MR,649.2537313432836
1.0,1.0,110 Wilshire,29,2014-10-15,455000.0,City West,670.0,2201,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=14-766443,679.1044776119403
1.0,1.0,110 Wilshire,29,2014-10-01,475000.0,City West,800.0,1905,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=14-779835,593.75
1.0,1.0,110 Wilshire,29,2014-09-25,480000.0,City West,750.0,2803,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=14-779219,640.0
2.0,2.0,110 Wilshire,29,2014-08-26,747777.0,City West,1050.0,1709,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=14-773383,712.1685714285715
1.0,0.0,110 Wilshire,29,2014-06-30,490000.0,City West,670.0,2601,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=13-717605,731.3432835820895
1.0,1.0,110 Wilshire,29,2014-06-18,530000.0,City West,860.0,3004,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=214004582VC,616.2790697674419
1.0,1.0,110 Wilshire,29,2014-06-02,495000.0,City West,750.0,2103,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=14-745833,660.0
1.0,1.0,110 Wilshire,29,2014-05-30,505000.0,City West,790.0,2212,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=14-731141,639.2405063291139
1.0,1.0,110 Wilshire,29,2014-05-15,447000.0,City West,670.0,3201,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=13-711649,667.1641791044776
2.0,2.0,110 Wilshire,29,2014-05-02,855000.0,City West,1340.0,2906,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=14-750841,638.0597014925373
1.0,1.0,110 Wilshire,29,2014-04-21,533300.0,City West,820.0,2608,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=AR13201618MR,650.3658536585366
2.0,2.0,110 Wilshire,29,2014-04-08,920000.0,City West,1600.0,1802,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=14-733033,575.0
1.0,1.0,110 Wilshire,29,2014-03-11,517000.0,City West,860.0,2104,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=13-714579,601.1627906976744
2.0,2.0,110 Wilshire,29,2014-02-28,795000.0,City West,1300.0,1806,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=13-698197,611.5384615384615
2.0,2.0,110 Wilshire,29,2014-02-26,730000.0,City West,1340.0,3304,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=14-727393,544.776119402985
2.0,2.0,110 Wilshire,29,2014-02-18,625000.0,City West,1160.0,3507,https://www.dlxco.com/the-promenade-west-lofts-condos-for-sale-lease-downtown-losangeles?mlsno=13-695059,538.7931034482758
